part_id,part_name,category,quantity,min_qty,max_qty,key_dimensions_mm,material_guess,source_drawing_ids,evidence_notes,confidence,open_questions,status
PRT-A-001,Large circular plate/disc,plate,1,1,1,unknown,bronze,DRW-001,Dominant circular plate visible in multiple rendered perspectives,medium,"Function, thickness, and exact diameter not legible",identified
PRT-A-002,Central shaft/hub,shaft,1,1,1,unknown,bronze,DRW-001;DRW-002,Cylindrical shaft/hub protrudes from plate toward gear subassembly,medium,Is shaft integral with plate or separate part? Merged medium-confidence duplicate PRT-B-003.,needs_review
PRT-A-003,Small external gear,gear,1,1,1,unknown,bronze,DRW-001;DRW-002,Toothed wheel visible on attached subassembly,medium,Tooth count/module/face width not legible Merged medium-confidence duplicate PRT-B-004.,needs_review
PRT-A-004,Gear support bracket/cage,other,1,1,1,unknown,bronze,DRW-001,Upright bracket-like structure supports/positions small gear,low,Single piece vs multi-part bracket unclear,inferred
PRT-A-005,Bracket fasteners/pins,fastener,,2,12,unknown,bronze or steel,DRW-001;DRW-002;DRW-005,At least two small cylindrical fastener/pin-like features visible,medium,"Exact count/type (pins, screws, rivets) uncertain Merged medium-confidence duplicate PRT-B-006.",needs_review
PRT-B-001,Large spoked ring wheel,gear,1,1,1,unknown,bronze,DRW-002,Dominant large wheel with clear outer teeth and spoke cutouts,medium,Exact tooth count and module not legible,identified
PRT-B-002,Cross-brace plate,plate,1,1,1,unknown,bronze,DRW-002,Diagonal/crossing brace spans the wheel interior and ties to center,medium,Single plate vs stacked plates unclear,identified
PRT-B-005,Support stanchions/posts,other,,3,8,unknown,bronze,DRW-002;DRW-003;DRW-004,Vertical posts connect upper and lower structure across B and B1 views,medium,Confirm exact count and whether all posts are identical across both assemblies Merged medium-confidence duplicate PRT-IP-002.,needs_review
PRT-B1-001,Coaxial gear stack (set),gear,,4,10,unknown,bronze,DRW-002;DRW-003,Multiple distinct toothed discs visible in layered side profile,medium,Need top/section views to split into unique gear IDs and exact counts,inferred
PRT-B1-002,Top spindle/indicator shaft,shaft,1,1,1,unknown,bronze,DRW-003,Stepped vertical spindle rises above top plate,medium,Pointer/cap geometry not resolved from side view,identified
PRT-B1-003,Upper retaining plate/ring,plate,1,1,1,unknown,bronze,DRW-003,Thin upper plate spans over the gear stack and ties supports,medium,Could be segmented frame members instead of single plate,needs_review
PRT-B1-004,Lower base plate/ring,plate,1,1,1,unknown,bronze,DRW-003,Lower plate supports the stacked gears and frame,medium,May correspond to previously logged ring/plate from DRW-002,needs_review
PRT-B1-006,Axle spacers/washers,spacer,,1,10,unknown,bronze,DRW-001;DRW-002;DRW-003;DRW-004;DRW-005,Thin intermediate layers between gears suggest spacer elements,medium,Could be gear hubs/flanges rather than separate spacers Merged medium-confidence duplicate PRT-IP-008. Merged medium-confidence duplicate PRT-COM-005.,needs_review
PRT-IP-001,Rectangular base plate,plate,1,1,1,unknown,bronze,DRW-004,Large rectangular plate visible in both top and underside views,high,Thickness and hole pattern dimensions not yet measured,identified
PRT-IP-003,Circular ring track/annulus,gear,1,1,1,unknown,bronze,DRW-004,Large circular toothed/ring feature around central assembly,medium,"Whether fully toothed gear, ring track, or both is unresolved",needs_review
PRT-IP-004,Primary spur gear pair,gear,,2,3,unknown,bronze,DRW-004,Two to three meshing spur gears clearly visible near center-left,medium,Need higher fidelity views to split into unique gear IDs,inferred
PRT-IP-005,Secondary small pinion(s),gear,,1,3,unknown,bronze,DRW-002;DRW-004,Small pinion-like gears visible inboard of main pair,low,Could overlap with previously logged pinions from DRW-002/003,needs_review
PRT-IP-006,Central carrier hub,shaft,1,1,1,unknown,bronze,DRW-004,Central hub/axle region supports rotating elements and linkage,medium,Distinct part vs assembly of multiple collars unresolved,needs_review
PRT-IP-007,Through shaft or hand-input axle,shaft,1,1,1,unknown,bronze or steel,DRW-004,Long shaft protrudes below plate and through center area,high,"End interface details (handle, square, keyway) not legible",identified
PRT-COM-001,Plain wheel/disc blank,plate,1,1,1,unknown,bronze,DRW-005,Large plain circular disc with center bore shown as standalone part,medium,Whether this maps to an existing dial/wheel part is unresolved,needs_review
PRT-COM-002,Rectangular bracket/block,other,1,1,1,unknown,bronze,DRW-005,Box-like rectangular component with an underside tab/hook feature,medium,Mounting orientation and mating parts not yet identified,identified
PRT-COM-003,Link/tab plate,other,1,1,1,unknown,bronze,DRW-002;DRW-005,Small flat lever/tab with rounded pivot end and tapered arm,medium,"Function (lever, stop, latch) unclear",identified
PRT-COM-004,Stepped bushing/adapter,spacer,1,1,1,unknown,bronze,DRW-005,One larger stepped cylindrical bushing shown separately,medium,Could be hub adapter rather than spacer,needs_review
PRT-COM-006,Small collar bushing type B,spacer,,1,3,unknown,bronze,DRW-005,Second collar-like geometry appears distinct from type A,low,May be same part shown from different orientation,needs_review
PRT-COM-007,Short straight pin/shaft,pin,,2,4,unknown,bronze or steel,DRW-005,Multiple short cylindrical pins/axles displayed on right and left,medium,Exact count and diameters not legible,identified
PRT-COM-008,Micro pin/set screw,fastener,,1,2,unknown,bronze or steel,DRW-005,Very small short cylindrical piece at lower-left appears separate hardware,low,Could be truncated view artifact rather than unique part,inferred
PRT-BP-001,Rear rectangular back plate,plate,1,1,1,unknown,bronze,DRW-006,Main rectangular plate shown in front and rear orientation,high,Plate thickness and full hole coordinates not measured,identified
PRT-BP-002,Corner/edge support posts,other,,6,8,unknown,bronze,DRW-006,Multiple stand-off posts visible around perimeter,medium,Confirm exact count and whether all post geometries match,inferred
PRT-BP-003,Upper spiral dial engraving region,pointer,1,1,1,unknown,engraving on bronze plate,DRW-006,Upper circular spiral scale/legend is integrated on plate face,medium,Whether represented as separate insert or pure engraving,needs_review
PRT-BP-004,Lower spiral dial engraving region,pointer,1,1,1,unknown,engraving on bronze plate,DRW-006,Lower circular spiral scale/legend visible on plate face,medium,Need clearer source to resolve exact ring segmentation,needs_review
PRT-BP-005,Upper dial indicator hub/pivot,shaft,1,1,1,unknown,bronze,DRW-006,Small central pivot/hub feature present within upper dial,medium,Pointer hand component not clearly separable in this view,identified
PRT-BP-006,Lower dial indicator hub/pivot,shaft,1,1,1,unknown,bronze,DRW-006,Small central pivot/hub feature present within lower dial,medium,Pointer hand component not clearly separable in this view,identified
PRT-BP-007,Back plate mounting fasteners,pin,,4,12,unknown,bronze or steel,DRW-006,Small cylindrical fastener/pin-like ends visible at support posts,low,Fastener type and count are uncertain,needs_review
PRT-CAL-001,Callippic rectangular plate,plate,1,1,1,unknown,bronze,DRW-007,Primary rectangular plate with hole pattern and mounted gear cluster,high,Confirm whether this is unique plate geometry or reuse of another plate,identified
PRT-CAL-002,Callippic perimeter standoffs,other,,6,8,unknown,bronze,DRW-007,Multiple vertical rectangular posts around plate perimeter,medium,Exact count and interchangeability with other standoff sets unresolved,inferred
PRT-CAL-003,Callippic large spur gear,gear,1,1,1,unknown,bronze,DRW-007,Largest gear in central 3-gear cluster,medium,Need tooth count/module,identified
PRT-CAL-004,Callippic intermediate spur gear,gear,1,1,1,unknown,bronze,DRW-007,Second gear meshing in cluster near center,medium,Could be same spec as small gear depending on unseen thickness,identified
PRT-CAL-005,Callippic small spur gear/pinion,gear,1,1,1,unknown,bronze,DRW-007,Smallest visible gear in central cluster,medium,Confirm whether this is distinct from previously logged pinions,needs_review
PRT-CAL-006,Gear carrier shafts/arbors,shaft,,2,3,unknown,bronze or steel,DRW-007,Vertical shafts support the callippic gears,medium,Need exact shaft count and whether stepped/shouldered,inferred
PRT-CAL-007,Callippic shaft retainers/collars,spacer,,2,6,unknown,bronze or steel,DRW-007,Small collar-like retainers visible at shaft tops/bases,low,May be integral shaft shoulders rather than separate parts,needs_review
PRT-DATE-001,Date dial base plate,plate,1,1,1,unknown,bronze,DRW-008,Rectangular date plate carrying ring and text panels,high,Overall dimensions and thickness not yet measured,identified
PRT-DATE-002,Date ring/scale annulus,pointer,1,1,1,unknown,engraving on bronze plate,DRW-008,Circular outer ring with dense date/scale markings,medium,Whether separate insert ring or integrated engraving remains unclear,needs_review
PRT-DATE-003,Central date wheel/spoked carrier,gear,1,1,1,unknown,bronze,DRW-008,Large central spoked circular element within date ring,medium,Toothing and drive interface details not fully visible,identified
PRT-DATE-004,Central hub and bore collar,shaft,1,1,1,unknown,bronze,DRW-008,Hub/collar at center of date wheel indicates axle interface,medium,Keyway/pin interface not legible,identified
PRT-DATE-005,Top inscription panel,plate,1,1,1,unknown,engraved bronze,DRW-008,Upper rectangular panel with engraved text columns,medium,Panel may be integrated into base plate rather than separate part,needs_review
PRT-DATE-006,Bottom inscription panel,plate,1,1,1,unknown,engraved bronze,DRW-008,Lower rectangular panel with engraved text columns,medium,Panel may be integrated into base plate rather than separate part,needs_review
PRT-DATE-007,Date marker pins/stops,pin,,2,6,unknown,bronze or steel,DRW-008,Small round marker-like features visible around date ring,low,Could include rendering markers or non-physical overlays,needs_review
PRT-DATE-008,Date plate corner fasteners,pin,,4,8,unknown,bronze or steel,DRW-008,Fastener-like holes/features at panel corners,low,May represent mounting holes without visible hardware,inferred
PRT-EXE-001,Exeligmos base plate,plate,1,1,1,unknown,bronze,DRW-009,Long rectangular plate with mounting/perforation pattern,high,Dimensions and hole spacing not yet measured,identified
PRT-EXE-002,Exeligmos primary spur gear,gear,1,1,1,unknown,bronze,DRW-009,Larger of the two visible gears in right-side cluster,medium,Tooth count/module not legible,identified
PRT-EXE-003,Exeligmos secondary spur gear/pinion,gear,1,1,1,unknown,bronze,DRW-009,Smaller meshing gear in right-side cluster,medium,May overlap with other small pinion IDs from related assemblies,needs_review
PRT-EXE-004,Exeligmos gear shafts/arbors,shaft,,2,3,unknown,bronze or steel,DRW-009,Vertical shaft elements visible through gear pair,medium,Exact shaft count and stepped profile uncertain,inferred
PRT-EXE-005,Exeligmos shaft collars/retainers,spacer,,1,4,unknown,bronze or steel,DRW-009,Collar-like ring elements visible around shaft/gear interfaces,low,Could be integral hub shoulders rather than separate parts,needs_review
PRT-EXE-006,Exeligmos plate fasteners/mount points,pin,,4,12,unknown,bronze or steel,DRW-009,Corner/perimeter mounting features present on plate,low,"Could represent holes only, without separate fastener parts",inferred
PRT-FP-001,Front dial base plate,plate,1,1,1,unknown,bronze,DRW-010,Primary front rectangular plate carrying dial and inscriptions,high,Dimensions and thickness not yet measured,identified
PRT-FP-002,Front circular scale annulus,pointer,1,1,1,unknown,engraving on bronze plate,DRW-010,Circular ring of graduations around front dial,medium,Separate ring insert vs integrated engraving unresolved,needs_review
PRT-FP-003,Front central dial wheel/spoked carrier,gear,1,1,1,unknown,bronze,DRW-010,Spoked circular element at dial center,medium,Drive tooth interface details not fully visible,identified
PRT-FP-004,Front pointer hub/axle mount,shaft,1,1,1,unknown,bronze,DRW-010,Central hub where pointer/axle appears mounted,medium,Pointer component separation from hub unclear,identified
PRT-FP-005,Front pointer hand,other,1,1,1,unknown,bronze,DRW-010,Needle-like indicator visible across the front dial,medium,Could be stylized rendering; verify true hand geometry,needs_review
PRT-FP-006,Upper front inscription panel,plate,1,1,1,unknown,engraved bronze,DRW-010,Upper inscription block with line text and markers,medium,May be integrated into base plate,needs_review
PRT-FP-007,Lower front inscription panel,plate,1,1,1,unknown,engraved bronze,DRW-010,Lower inscription block with line text and markers,medium,May be integrated into base plate,needs_review
PRT-FP-008,Front frame standoffs/posts,other,,4,10,unknown,bronze,DRW-010,Standoffs and angled supports visible between plates in assembly view,medium,Count and variants uncertain across assembly context,inferred
PRT-FP-009,Front plate mounting fasteners,pin,,4,12,unknown,bronze or steel,DRW-010,Corner/perimeter fastener-like features around front plate,low,Could represent mounting holes without hardware,inferred
PRT-FP-010,Secondary support plate (behind front dial),plate,1,1,1,unknown,bronze,DRW-010,Second plate visible behind front dial in exploded/assembly composition,medium,May duplicate another already-logged plate from adjacent subsystem,needs_review
PRT-HOU-001,Main housing frame/body,plate,1,1,1,unknown,wood or bronze-clad structure,DRW-011,Primary rectangular open-frame body of the mechanism case,high,Material appears wood-toned in render; true material stack uncertain,identified
PRT-HOU-002,Hinged housing door/panel,plate,1,1,1,unknown,bronze,DRW-011,Rectangular panel with dense inscription pattern mounted on hinge side,high,Panel thickness and exact fit tolerances unknown,identified
PRT-HOU-003,Door hinge set,fastener,,2,4,unknown,bronze or steel,DRW-011,At least two hinge plates visible along door edge,medium,Hinge pin size/style not legible,identified
PRT-HOU-004,Door latch/lock fitting,fastener,1,1,1,unknown,bronze or steel,DRW-011,Latch/lock-like feature visible on panel face/edge,medium,"Exact mechanism (key latch, clasp, pin) uncertain",needs_review
PRT-HOU-005,Housing side rails/guides,other,,2,4,unknown,wood or bronze,DRW-011,Linear rail-like elements visible along inner side walls,medium,Could be decorative rebates rather than separate rails,inferred
PRT-HOU-006,Housing corner joints/feet,other,,2,6,unknown,wood or bronze,DRW-011,Distinct corner/end joint geometry at base edges,low,May be integral body geometry rather than separate parts,needs_review
PRT-HOU-007,Panel inscription field,other,1,1,1,unknown,engraving on panel,DRW-011,Dense dot/character inscription block across door panel,medium,Text content not transcribed at current fidelity,identified
